video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_20064,0.4380169187414751,0.4147037847793224,0.4631775853235691,0.47955442752397065,0.8390670935919052,268,7082,32,14184,0.6128792799480375,0.8962008141112618,0.46566553863508175
MVI_20065,0.6177901140130536,0.5987111805342122,0.6390790886464565,0.6941011890883656,0.8398336296111824,1128,4075,45,17156,0.8035070938944684,0.886832289394046,0.7344952203310795
MVI_39761,0.6772325981469828,0.6433243166438064,0.7138043567154589,0.7568585260892953,0.8155637236804906,513,384,7,3718,0.8764044943820225,0.8617104237067845,0.8916083916083916
MVI_39771,0.49895433230657116,0.4694141921762028,0.534580452613861,0.5361997226074896,0.7841932484925245,410,1247,15,3605,0.6932370939902714,0.7980491329479769,0.6127600554785021
MVI_39781,0.5485885545368678,0.5405650112937809,0.5588548808948437,0.5200732313325487,0.8314605101950563,1918,1669,83,7647,0.6667953419545776,0.6562816616008106,0.6776513665489734
MVI_39801,0.4665403859697645,0.41698216208308964,0.5263364864502595,0.49165464661034414,0.7911228885260931,205,2220,42,4853,0.634247822129762,0.8594080338266384,0.502575726354832
MVI_39811,0.5540900694544383,0.4883518901236171,0.6299404812567895,0.46243739565943237,0.8226142979644632,183,136,3,599,0.714859437751004,0.6888544891640866,0.7429048414023373
MVI_39821,0.5066668249425831,0.47260512126143,0.5458452823600041,0.47723480333730633,0.8196020952183698,801,1361,31,4195,0.6666666666666666,0.7180192572214581,0.6221692491060786
MVI_39851,0.5152220057503488,0.47620492419688465,0.5584536415284002,0.5396020288724152,0.8376888782845322,226,2115,19,5126,0.6995097453067081,0.9036144578313253,0.5706203667577058
MVI_39861,0.4473250058947747,0.4110248492823898,0.488181545837085,0.4828738512949039,0.8279747349000807,45,1185,8,2394,0.6425438596491229,0.9346092503987241,0.48955722639933164
MVI_39931,0.5927226124936924,0.4966446685335779,0.7114565128087282,0.4034596794708726,0.8355135792485601,1582,754,9,3931,0.7118527042577676,0.6499264551376339,0.7868226914271178
MVI_40131,0.6599964608164043,0.6753982744673059,0.6464303083157258,0.7837379274340903,0.8299872990837269,1319,1947,48,15324,0.8019320453031312,0.8190664126292869,0.785499869485774
MVI_40141,0.6406723129581067,0.6188597591567544,0.6664804588777037,0.785760205721633,0.7844872273000736,577,737,19,6222,0.8469553891240639,0.8581326294952161,0.8360655737704918
MVI_40152,0.5136278393516895,0.4954901841242626,0.5356539906727145,0.4832501781895937,0.7669002083568857,1379,1495,26,5612,0.6825711199135758,0.6897743813682679,0.6755167498218104
MVI_40161,0.685602438630733,0.6566300845258335,0.7187478702276177,0.7566792452830189,0.8375259105282643,901,697,14,6625,0.8602646053218374,0.8474154341777713,0.8735094339622641
MVI_40162,0.6766261532785516,0.6600248733923109,0.6952029113631044,0.7414972027351034,0.847918738112925,1303,1558,50,11261,0.8275025822966722,0.8370888606214792,0.8181333806944321
MVI_40171,0.48743688625554576,0.3975061962022464,0.6001598128766038,0.39941756272401435,0.8110811015963438,880,4427,55,8928,0.5713886365224684,0.7597100910611411,0.4578853046594982
MVI_40172,0.4363483528944675,0.39396584374890614,0.4834464698251328,0.4297762098996803,0.8382579453738647,783,9499,63,18142,0.4824434126523506,0.7054954381497984,0.3665527505236468
MVI_40181,0.6278639403265996,0.6243848593760802,0.6330055609702528,0.7328747894441325,0.8218876448392097,962,911,30,7124,0.7891460941324568,0.7863414634146342,0.791970802919708
MVI_40191,0.693313173551108,0.6869839402172961,0.7012071197940194,0.8138329730996589,0.8173476239788061,2360,4721,68,38401,0.8935667172660228,0.9228357380688125,0.8660972370511184
MVI_40192,0.6795341660138661,0.6715271102842767,0.6892979314571079,0.8122981939467054,0.7932987088297243,2926,2275,89,28183,0.8939088342073417,0.8838177151973364,0.9042330482915233
MVI_40201,0.6767961056287725,0.647175931645776,0.7103644721720714,0.7575286041189931,0.8212478468558462,882,1723,44,10925,0.857251654053025,0.8929988099960333,0.8242562929061785
MVI_40204,0.6204796603547788,0.589563205956421,0.655101776007122,0.7075530586766542,0.8166122039056687,976,5492,91,22428,0.8090728805156172,0.9110652076820009,0.7276172641341181
