video,track_id,start,end,T,omega_ekf,v_ekf,R_px,arc_deg,omega_gt_before,omega_gt_during
MVI_40991,19,1158,1197,40,-0.004303649909951591,10.670926461906106,2479.506159929755,9.86323905368332,0.008437267414184038,-0.0022379352030739035
MVI_40991,20,1203,1234,32,-0.0029688535755918893,11.429438927069597,3849.781956589406,5.443288955959647,0.000839064827988345,0.0011512984363208764
MVI_40991,21,1258,1296,39,-0.007382121186657399,15.221593668801003,2061.953913234699,16.49561112613346,-0.011656856229344374,0.0006428328774897101
MVI_40991,24,1400,1441,42,-0.004077875399262367,11.934816530600397,2926.7241791544798,9.813092089834283,0.005938017266337589,0.005345016029485605
MVI_40991,24,1449,1499,51,0.0005524313442463341,4.607955666112787,8341.227763604336,1.6142512092987353,-0.006389438354759785,0.0008860583265907827
MVI_40991,26,1690,1806,117,-0.0031846576714357083,10.328154138708626,3243.097125115016,21.3486909207655,0.0029549737908335797,-0.0010929059240241856
MVI_40992,5,228,293,66,-0.006299247638215066,9.110526701177864,1446.2880687382205,23.82074004931335,-0.0002826155915802025,7.098177018666912e-05
MVI_40992,12,524,563,40,-0.24371114301007912,36.30052061921126,148.94895724037528,558.5447965914707,-0.0027835115596066893,0.006306040683311426
MVI_40992,12,575,609,35,-0.2905101369744476,1.9786505229318432,6.810951740062273,582.5751664041153,0.006545088485349942,0.0051071119095398
MVI_40992,27,1310,1353,44,-0.01157047270097876,11.756839702718342,1016.107120820035,29.16932712044635,-0.016563637743362773,0.004271753694406418
MVI_40992,33,1669,1796,128,-0.005772376848994285,8.732451934169,1512.80004105942,42.33380239441887,-0.0020278546270363204,0.002649925116734947
MVI_40992,36,1769,1835,67,0.12467977086986387,-6.86156961669416,55.0335436841315,478.6228523205901,-0.0009078738589596291,0.00251706135319197
MVI_40992,36,1855,1901,47,0.06668587230662258,-1.1117135249873922,16.67090024519313,179.57849470693708,-0.011715660132951056,0.0068609838164695935
MVI_40992,37,1808,1898,91,-0.013074285771650495,9.735216949249008,744.6079364700956,68.16822693257997,-0.03934940442404445,0.00025357807688026335
MVI_40992,37,1917,1951,35,0.0155978299531528,1.5925943867051529,102.10358694051801,31.27914390574379,-0.015251031168668968,-0.0021838568525025365
MVI_63544,10,159,265,107,0.32741716109849256,3.199547439669629,9.772082284676433,2007.2794974075484,-0.022167774123209378,0.002811542813769436
MVI_63544,12,283,366,84,-0.0021622704272424727,4.923662228957204,2277.079761589448,10.406673450343215,-0.013375022160547978,-2.535920878052661e-05
