video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR,motion_model
MVI_20063,0.5413858258130123,0.5127827661334485,0.5723392993632729,0.5799436795994993,0.8215890546129327,530,2129,26,6392,0.7218596334376397,0.8422699770498644,0.6315707133917396,EKF + CTRV
MVI_20064,0.4381426391778717,0.4147644491659945,0.4633636687024592,0.4794839255499154,0.8389716763258224,272,7081,30,14184,0.6132009833480218,0.8962711864406779,0.4660180485053581,EKF + CTRV
MVI_20065,0.6177687526953708,0.5987380795807825,0.6390096710425065,0.6938680345068781,0.839868807363569,1133,4074,45,17156,0.803353415574894,0.8864579669363348,0.7344952203310795,EKF + CTRV
MVI_39761,0.677165038103251,0.643311020811276,0.7136551796638385,0.756589564281872,0.8156720815901702,513,385,7,3718,0.8762559492332099,0.8616744669786791,0.8913394298009683,EKF + CTRV
MVI_39771,0.4981837519097385,0.4686337363019497,0.5337771138574512,0.5345353675450762,0.784841483148697,410,1253,15,3605,0.6920056541542328,0.7976104272266473,0.6110957004160887,EKF + CTRV
MVI_39781,0.5481231263059123,0.5404892654813223,0.5580098655205437,0.5194193801490781,0.8315065452880014,1920,1671,84,7647,0.6660232902271119,0.6555217831813577,0.6768667451288087,EKF + CTRV
MVI_39801,0.4665451486694572,0.4170054636756008,0.5263103703888294,0.4916546466103441,0.7911390625702466,205,2220,42,4853,0.634247822129762,0.8594080338266384,0.502575726354832,EKF + CTRV
MVI_39811,0.5539212306671125,0.4881884466371412,0.6297701850995695,0.4624373956594323,0.8224171235899373,183,136,3,599,0.714859437751004,0.6888544891640866,0.7429048414023373,EKF + CTRV
MVI_39821,0.5067231050368779,0.4726422537481181,0.5459246621226849,0.4772348033373063,0.8195922371235188,801,1361,31,4195,0.6666666666666666,0.7180192572214581,0.6221692491060786,EKF + CTRV
MVI_39851,0.5151156168679144,0.476032493128913,0.5584151954036966,0.5390167772142022,0.8377829120129406,229,2115,19,5126,0.6992589050920393,0.9027777777777778,0.5706203667577058,EKF + CTRV
MVI_39861,0.4473250058947747,0.4110248492823898,0.488181545837085,0.4828738512949039,0.8279759038176504,45,1185,8,2394,0.6425438596491229,0.934609250398724,0.4895572263993316,EKF + CTRV
