video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_41063,0.5912921544430206,0.5447956554748128,0.6447568498488547,0.6236066878980892,0.804625385836167,663,3072,47,10048,0.7618024537796122,0.8819217175022909,0.6704816878980892
MVI_41073,0.6477165928366493,0.6174279400255308,0.6826847321398226,0.7258863525983487,0.7918287151233347,919,1856,47,10295,0.8360046812191523,0.8778585167770891,0.7979601748421564
MVI_63521,0.6905900146322115,0.6795456052794652,0.7027583586976442,0.7949363732767762,0.8519650417941987,440,2628,26,15088,0.8801629269687009,0.9548062015503876,0.8163441145281018
MVI_63525,0.7638373397081446,0.7309539569529807,0.8038950356472996,0.8628242074927954,0.8489489182579333,114,351,11,3470,0.905564672534686,0.9387565728425611,0.8746397694524496
MVI_63544,0.47923385440073407,0.43703953467838813,0.5269096674609349,0.42689760570555274,0.7909076061164119,458,648,19,1963,0.639186295503212,0.6734348561759729,0.60825267447784
MVI_63552,0.5300899908778237,0.48182433827138166,0.5890565360281994,0.5159566990018276,0.7535768056570045,1017,2390,36,7113,0.7181202832023652,0.804006968641115,0.6488120343033882
MVI_63553,0.5420329745301913,0.48925850074474325,0.6044231907565184,0.5872853828306265,0.7561781880375997,744,3654,49,10775,0.7348712446351932,0.8708200890019072,0.6356380510440836
MVI_63554,0.5796085351614458,0.5308827169990701,0.6352368396908021,0.6244541484716157,0.7843117170546057,692,2957,49,9847,0.7656205175282575,0.8799788973885518,0.6775667716055651
MVI_63561,0.5517937674506493,0.4856908296772656,0.6299861165724391,0.5358563704988268,0.7922126775285486,1075,3416,59,9803,0.7132348682305242,0.8251139104797641,0.6280730388656534
MVI_63562,0.5912793336797948,0.5436575933631058,0.6467299684418674,0.6311377245508982,0.7946766652442909,547,1873,44,6680,0.7699850423799236,0.865334329473291,0.693562874251497
MVI_63563,0.5855314592282044,0.5170107000540627,0.6669894324301694,0.6021539104976997,0.7986680094526819,614,3144,47,9564,0.7535847692493072,0.889110036963321,0.6539104976997072
