video,track_id,seg_id,lvl,bucket,n_pred,model,iou,diou,expand,traceP
MVI_40204,35,0,full,medium,21,EKF + CTRV,0.14360115881293484,0.0006338134198369261,1.0,715.0325248332554
MVI_40204,35,0,full,medium,21,UKF + CTRV,0.1884817262909252,0.06838096844894732,1.0,612.350083371633
MVI_40204,98,0,full,long,53,KF + CV,0.0,-0.5620553369873034,inf,3273.557969700612
MVI_40204,98,0,full,long,53,EKF + CTRV,0.0,-0.5795640506263136,inf,18032.775293783216
MVI_40204,98,0,full,long,53,UKF + CTRV,0.0,-0.3410204970380786,4.800000000000003,3730.7346193728963
MVI_40212,136,0,full,medium,21,KF + CV,0.025930978721366932,-0.19369418118208753,1.0,1771.7598414560025
MVI_40212,136,0,full,medium,21,EKF + CTRV,0.001553558245592039,-0.23245037704539703,1.0,7452.210716646961
MVI_40212,136,0,full,medium,21,UKF + CTRV,0.0,-0.2519402647290334,1.1,6530.014258992376
MVI_40213,205,0,full,medium,24,KF + CV,0.0,-0.3380727973964238,2.200000000000001,2399.9715016214254
MVI_40213,205,0,full,medium,24,EKF + CTRV,0.0,-0.3249000050491852,2.100000000000001,12160.574688793637
MVI_40213,205,0,full,medium,24,UKF + CTRV,0.0,-0.3489050111756537,2.4000000000000012,9361.852530614004
MVI_40732,2,2,full,medium,21,KF + CV,0.987848751557106,0.9878487395648949,1.0,1870.0897586967951
MVI_40732,2,2,full,medium,21,EKF + CTRV,0.9801441454542215,0.9801415647641096,1.0,1391.9894541544274
MVI_40732,2,2,full,medium,21,UKF + CTRV,0.9794086216838253,0.979405312466477,1.0,1349.7849709801972
MVI_40732,14,0,full,medium,30,KF + CV,0.07759998258808963,0.02288870930314211,1.0,18248.903225773156
MVI_40732,14,0,full,medium,30,EKF + CTRV,0.0,-0.0920136522662445,1.5000000000000004,61820.36603281904
MVI_40732,14,0,full,medium,30,UKF + CTRV,0.0,-0.0509692401437934,1.1,35367.05631991091
MVI_40732,14,1,full,medium,29,KF + CV,0.0,-0.27848724797778207,1.4000000000000004,6247.032467127369
MVI_40732,14,1,full,medium,29,EKF + CTRV,0.0,-0.305181496110756,1.6000000000000005,14529.297670878957
MVI_40732,14,1,full,medium,29,UKF + CTRV,0.0,-0.2546212423642966,1.3000000000000003,9931.468555835778
MVI_40751,2,0,full,long,47,KF + CV,0.4274619762704283,0.4119745030325266,1.0,14671.689348949543
MVI_40751,2,0,full,long,47,EKF + CTRV,0.5642552754875511,0.5595568118782009,1.0,10581.15540620395
MVI_40751,2,0,full,long,47,UKF + CTRV,0.5516229616951914,0.5433367870368231,1.0,10042.764940624447
MVI_40752,76,1,full,medium,31,KF + CV,0.005106733590364026,-0.2219191463668797,1.0,4459.264057774756
MVI_40752,76,1,full,medium,31,EKF + CTRV,0.007555132262501853,-0.21946360030423212,1.0,12827.961408869418
MVI_40752,76,1,full,medium,31,UKF + CTRV,0.0,-0.2650151700939839,1.3000000000000003,9031.786018017378
MVI_40752,99,1,full,medium,22,KF + CV,0.06717829946688074,-0.08692618809206722,1.0,1603.9569651331883
MVI_40752,99,1,full,medium,22,EKF + CTRV,0.09796685248284563,-0.055327088399378735,1.0,4121.27519060435
MVI_40752,99,1,full,medium,22,UKF + CTRV,0.06796950913746756,-0.10285954503142324,1.0,3592.8174876066855
MVI_40991,1,0,full,medium,20,KF + CV,0.23010780664991845,0.12094622309073888,1.0,9515.382483800824
MVI_40991,1,0,full,medium,20,EKF + CTRV,0.022520946745662577,-0.16896883478025784,1.0,32233.77813636032
MVI_40991,1,0,full,medium,20,UKF + CTRV,0.03562180472961233,-0.11289268587680518,1.0,12640.571666086273
MVI_40991,10,0,full,medium,24,KF + CV,0.0,-0.3586509584363416,3.6000000000000023,7228.463854808253
MVI_40991,10,0,full,medium,24,EKF + CTRV,0.0,-0.3770856268394037,3.9000000000000026,17179.064053243794
MVI_40991,10,0,full,medium,24,UKF + CTRV,0.0,-0.34570072427043913,3.200000000000002,12525.286297307524
MVI_40991,11,0,full,medium,29,KF + CV,0.0,-0.2478442886089772,1.1,10462.802411089571
MVI_40991,11,0,full,medium,29,EKF + CTRV,0.0,-0.2561338728412681,1.3000000000000003,22901.170659843847
MVI_40991,11,0,full,medium,29,UKF + CTRV,0.020436911670032636,-0.16264088083616068,1.0,15603.834074362916
MVI_40991,12,0,full,medium,26,KF + CV,0.0,-0.298821283634122,1.9000000000000008,8027.285420206845
MVI_40991,12,0,full,medium,26,EKF + CTRV,0.0,-0.30216261241806963,1.9000000000000008,18186.892780002265
MVI_40991,12,0,full,medium,26,UKF + CTRV,0.0,-0.25602443266004626,1.2000000000000002,13768.735394944566
MVI_40991,14,0,full,medium,23,KF + CV,0.0,-0.23396355450950607,1.1,7741.862703045853
MVI_40991,14,0,full,medium,23,EKF + CTRV,0.0,-0.25028456182085274,1.2000000000000002,15897.246591639823
