video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_39761,0.6772311348221352,0.643359437708518,0.7137448023002965,0.756589564281872,0.815709885664498,513,385,7,3718,0.8762559492332099,0.8616744669786791,0.8913394298009683
MVI_39771,0.49631392758726894,0.46774778740966644,0.530789448936921,0.5320388349514563,0.7848003666626396,419,1252,16,3605,0.6871569703622393,0.7904040404040404,0.6077669902912621
MVI_39781,0.5480297019213398,0.540519938720834,0.5577918964699154,0.5191578396756898,0.8314222920282148,1919,1671,87,7647,0.6658087762192768,0.6553514882837239,0.6766052046554204
MVI_39801,0.46657155653787763,0.41703138655700467,0.5263159191780984,0.49186070471873067,0.7911748547209119,205,2220,41,4853,0.6345078663372773,0.8597603946441156,0.5027817844632186
MVI_39811,0.5528756022808956,0.48631352922687027,0.6298401076693111,0.4574290484140234,0.8224825643737805,186,136,3,599,0.7131410256410257,0.6856702619414484,0.7429048414023373
MVI_39821,0.5070642929089072,0.4725893255099691,0.5466455636188482,0.47747318235995234,0.8196011290615439,801,1361,30,4195,0.6679438058748404,0.71939477303989,0.6233611442193087
MVI_39851,0.5150456767427768,0.47598212433198456,0.558316980272977,0.5390167772142022,0.8377596439570678,229,2115,19,5126,0.6992589050920393,0.9027777777777778,0.5706203667577058
MVI_39861,0.4473422160814476,0.41106118256925656,0.4881572999417394,0.4828738512949039,0.8280243869386655,45,1185,8,2394,0.6425438596491229,0.9346092503987241,0.48955722639933164
MVI_39931,0.5924067313187266,0.4960914900404503,0.7114940610724831,0.4016789620961587,0.835505222702078,1589,754,9,3931,0.711279751638496,0.6489718841796055,0.7868226914271178
MVI_40131,0.6600619295189535,0.6755227274937419,0.6464466133168598,0.7841294701122422,0.8298686796853616,1319,1941,48,15324,0.8019716245920202,0.8189361991565773,0.7856956408248499
MVI_40141,0.6402979329041981,0.6182548528380115,0.6662627939640918,0.7846351655416265,0.7845596147888412,584,737,19,6222,0.8464730290456431,0.8571428571428571,0.8360655737704918
MVI_40152,0.513473931770615,0.4953745068991459,0.5353979894710015,0.4821810406272274,0.7675986800961333,1384,1495,27,5612,0.6813641680914244,0.688238502090529,0.6746258018531718
MVI_40161,0.6872276157253294,0.6568095404597724,0.7218960382288403,0.7569811320754717,0.8375485112140314,901,696,13,6625,0.865254552211074,0.8522693997071742,0.8786415094339622
MVI_40162,0.6767150289990131,0.6601173192691552,0.6952844644344619,0.7415860047953112,0.8479296699846864,1304,1557,49,11261,0.8275180744532759,0.8370276162790697,0.8182221827546399
MVI_40171,0.4879120036446935,0.3972398590144907,0.6016126514981348,0.3993055555555556,0.810822496354224,882,4427,54,8928,0.5727063098315981,0.7612855285156975,0.459005376344086
MVI_40172,0.43640142796546266,0.39402482130299266,0.4834935987042003,0.4297762098996803,0.8383624885125587,783,9499,63,18142,0.4824434126523506,0.7054954381497984,0.3665527505236468
MVI_40181,0.6274063168989289,0.6239165237642815,0.6325478435789026,0.7321729365524986,0.8218715678086109,963,915,30,7124,0.7887520984890879,0.7861126603457892,0.7914093206064009
MVI_40191,0.6933124167325012,0.6869770137884466,0.701173513563525,0.8138329730996589,0.8173638060751459,2361,4721,67,38401,0.8936353133983503,0.9228933714380844,0.8661753600166663
MVI_40192,0.6796027131112679,0.6716119538938148,0.6893407638747063,0.8121917467977149,0.7934615506161018,2927,2279,87,28183,0.8938155540744379,0.8837709410010058,0.9040911187595359
MVI_40201,0.6768481503496663,0.6472275478874342,0.7104135036193032,0.7576201372997712,0.821287918804284,882,1723,43,10925,0.857251654053025,0.8929988099960333,0.8242562929061785
MVI_40204,0.6203587441169776,0.5895313924402705,0.654889742485624,0.7078205814160871,0.8165768889375635,975,5487,91,22428,0.808496926432679,0.9103036392051798,0.7271713929017299
MVI_40211,0.5701842829390913,0.5322175775644636,0.6141791445111887,0.6127394080092862,0.7698565350892476,751,1872,46,6892,0.7735923556819079,0.8487263905735575,0.7106790481717934
MVI_40212,0.5688493367089867,0.5317117706143005,0.6129756198422129,0.5922071328848839,0.7688590212814534,836,2317,60,7879,0.7599635777824473,0.8479212253829321,0.6885391547150653
MVI_40213,0.5357111056956403,0.4902697333423213,0.5906202021958906,0.551804726045183,0.754551685815597,809,2593,50,7702,0.7217327459618208,0.8305170665765461,0.6381459361204882
MVI_40241,0.6356580142274632,0.6273448912192839,0.6460019593673297,0.7189769054199653,0.8024728829090945,1953,3949,97,21347,0.8338984716693695,0.8769055862746111,0.7949126340937837
MVI_40243,0.6475436561414651,0.6381354840781238,0.659729068239709,0.7428896473265074,0.8038610509918931,1162,1502,48,10548,0.8499710926960878,0.8641261755485894,0.8362722791050436
MVI_40244,0.6298953194918256,0.6235828793029827,0.6385270772627516,0.7230734309385994,0.7907306392045002,979,1420,41,8811,0.8383679646120715,0.8604540023894862,0.8173873567131994
MVI_40732,0.6564018683810938,0.6671411779388952,0.6471014149668322,0.7724982626824184,0.8220025422980111,1746,829,44,11512,0.7835929994569985,0.7546866200016091,0.8148019457956914
