video,track_id,seg_id,lvl,frame_start,frame_end,T_occ,ob_deg,od_deg,case,fde_kf,fde_ekf,gain_ctrv
MVI_63553,120,0,partial,856,883,28,-0.2972416460715605,-0.1263544658273661,STRAIGHT,132.59523434559546,145.86120771598354,-13.265973370388082
MVI_63553,123,0,partial,894,938,45,0.2792101268143664,-0.0687789440023893,STRAIGHT,241.29749636266916,284.9276796839843,-43.630183321315144
MVI_63553,134,0,partial,1001,1066,66,-1.815148521807777,-0.0315599191296135,STRAIGHT,247.5707342348285,845.2615838317832,-597.6908495969548
MVI_63553,140,0,partial,1073,1106,34,-0.280258893825713,0.199292534597982,STRAIGHT,141.9615645103245,160.47717564255453,-18.51561113223002
MVI_63553,149,0,partial,1111,1151,41,1.6260882249753588,-0.0122744606499264,STRAIGHT,648.5046231767425,651.2402402427101,-2.735617065967631
MVI_63553,157,0,partial,1181,1201,21,-0.2257410307928364,0.0758377367055611,STRAIGHT,34.615835915110964,22.452007639170755,12.163828275940208
MVI_63553,166,0,partial,1233,1287,55,-1.867068586497407,-0.1372687232630697,STRAIGHT,264.96539959127824,495.33275553190714,-230.3673559406289
MVI_63553,166,1,partial,1298,1321,24,0.2198889771112808,-0.0249002704792867,STRAIGHT,38.0147698802623,45.01041139357795,-6.995641513315647
MVI_63553,170,0,partial,1252,1323,72,-0.4882072377667903,-0.0141425180775691,STRAIGHT,224.03102860448496,339.1978810680158,-115.16685246353086
MVI_63553,172,1,partial,1313,1326,14,-0.1578493027701658,0.3565535905583973,CASE_B,8.036911201548598,10.962942951507303,-2.926031749958705
MVI_63553,174,0,partial,1282,1324,43,0.4330439744563884,0.0691104017620807,STRAIGHT,101.79446084822726,219.08400449478881,-117.28954364656155
MVI_63553,174,1,partial,1328,1346,19,-0.3741191610888221,0.6944436566637158,CASE_C,27.508867823793516,30.979550868286314,-3.470683044492798
MVI_63554,15,0,partial,77,141,65,-1.3821726591684131,0.0331215118791338,STRAIGHT,244.6185878943334,642.4624079922821,-397.84382009794876
MVI_63554,23,0,partial,156,200,45,0.3725099041823556,0.0576562508549343,STRAIGHT,26.828596938447316,126.2710217074044,-99.44242476895708
MVI_63554,33,0,partial,262,306,45,0.2127020435901031,0.1042888076250906,STRAIGHT,230.58342890589947,255.14810332368194,-24.56467441778247
MVI_63554,41,0,partial,357,381,25,-0.7561987411007811,0.5375699691506851,CASE_C,15.341915604169095,44.73492330134342,-29.393007697174326
MVI_63554,49,0,partial,373,426,54,0.3275924270407677,-0.2729447666628793,CASE_C,332.7521166847571,359.8348265672255,-27.082709882468407
MVI_63554,58,0,partial,426,446,21,3.306354589389497,0.0536025506575386,STRAIGHT,286.51528297932265,308.4740979960892,-21.95881501676655
MVI_63554,62,1,partial,467,501,35,0.2469850740334239,-0.0663072777007842,STRAIGHT,179.96512984319816,199.3617532341241,-19.396623390925953
MVI_63554,72,0,partial,602,621,20,-0.7174274934759692,-0.5191047628472473,CASE_A,13.17661159175852,32.134879289960175,-18.958267698201652
MVI_63554,87,0,partial,631,661,31,-0.0741285479799947,-0.0805500829017714,STRAIGHT,310.9491011724836,298.79050440642834,12.158596766055268
MVI_63554,90,0,partial,707,726,20,-0.6837123470101084,-0.0412755459463725,STRAIGHT,23.46903372907873,34.53023446300179,-11.061200733923059
MVI_63554,94,0,partial,701,726,26,-0.0733502954744586,-0.2153973406838776,STRAIGHT,301.0936509358899,288.4110787819107,12.682572153979208
MVI_63554,103,0,partial,785,801,17,-0.6934612646471431,-0.1450518000375797,STRAIGHT,36.73202796273191,46.06703385502896,-9.335005892297048
MVI_63554,126,0,partial,909,945,37,-0.1439537819269623,-0.3094742766955498,CASE_B,414.11984462362255,407.1881591162089,6.931685507413647
MVI_63554,158,0,partial,1193,1246,54,-0.9760681307035096,-0.0480372768723482,STRAIGHT,278.77548849929565,469.2022268114049,-190.42673831210925
MVI_63561,10,0,partial,54,76,23,0.0146175288629912,-0.2286651929204855,STRAIGHT,78.03050883786221,70.99847460653412,7.0320342313280975
MVI_63561,15,0,partial,102,141,40,0.2584617226333726,-0.1464971099264316,STRAIGHT,397.2118377481956,416.50036875464514,-19.288531006449546
MVI_63561,28,0,partial,172,196,25,-1.1705075434098766,0.265948278343196,CASE_C,69.05626680931077,92.38824866233493,-23.33198185302416
MVI_63561,66,0,partial,387,407,21,0.2451211735430937,-0.1029901647242969,STRAIGHT,89.92116514396783,81.35905993502303,8.5621052089448
MVI_63561,84,0,partial,518,569,52,-0.8009624089557755,0.1278419541286041,STRAIGHT,326.9970964293268,354.3516092095665,-27.354512780239702
MVI_63561,100,2,partial,656,679,24,0.2222890333682039,0.0665351705254392,STRAIGHT,85.14314817498756,83.16139390527388,1.9817542697136759
